#Total No. of Collocate Types: 52
#Total No. of Collocate Tokens: 354
1	33	33	0	5.75749	unarmed
2	33	0	33	5.98698	teenager
3	29	27	2	0.78325	a
4	21	0	21	4.96022	man
5	21	6	15	0.39295	and
6	20	18	2	-0.97343	the
7	18	18	0	5.16313	young
8	17	0	17	5.02013	men
9	12	12	0	-0.59718	of
10	10	0	10	3.56178	community
11	9	0	9	3.97049	residents
12	8	7	1	0.88767	is
13	7	7	0	4.18838	percent
14	6	5	1	2.80056	many
15	6	5	1	-1.21439	in
16	6	6	0	1.21560	are
17	4	0	4	4.36760	woman
18	4	0	4	-0.83896	police
19	4	0	4	1.28329	people
20	4	3	1	1.21560	one
21	4	4	0	4.80056	mostly
22	4	0	4	4.10012	lives
23	4	0	4	5.53753	families
24	3	0	3	3.19966	twitter
25	3	2	1	-1.54758	that
26	3	0	3	7.12249	superintendent
27	3	3	0	2.27282	old
28	3	0	3	6.53753	males
29	3	0	3	6.00701	male
30	3	3	0	5.80056	legislative
31	3	3	0	4.61999	largely
32	3	3	0	-0.66976	for
33	3	0	3	6.70745	caucus
34	3	2	1	-0.16906	by
35	3	3	0	0.63599	about
36	2	0	2	4.80056	youth
37	2	2	0	-1.05990	with
38	2	2	0	-1.52677	was
39	2	2	0	1.31514	two
40	2	0	2	2.93267	security
41	2	0	2	7.12249	populations
42	2	0	2	3.66306	population
43	2	0	2	-0.54994	officer
44	2	0	2	2.71310	leaders
45	2	2	0	3.69623	large
46	2	1	1	1.63064	its
47	2	1	1	-1.51413	he
48	2	0	2	2.78264	friday
49	2	0	2	2.47863	communities
50	2	0	2	-0.50504	but
51	2	2	0	1.65488	between
52	2	2	0	-0.88313	as
