#Total No. of Collocate Types: 121
#Total No. of Collocate Tokens: 1119
1	83	83	0	7.08814	unarmed
2	78	0	78	7.21807	men
3	75	0	75	7.17140	teenager
4	65	63	2	1.94764	a
5	63	63	0	6.97049	young
6	52	48	4	0.40508	the
7	47	0	47	6.12249	man
8	44	44	0	1.27729	of
9	42	18	24	1.39295	and
10	27	2	25	4.03817	people
11	23	18	5	2.04243	on
12	22	0	22	4.69928	community
13	17	1	16	6.14386	children
14	15	11	4	0.10754	in
15	14	0	14	4.60792	residents
16	14	13	1	1.69503	is
17	13	0	13	5.17907	communities
18	13	12	1	1.94641	by
19	13	13	0	2.33108	are
20	10	0	10	5.88983	victims
21	9	0	9	5.83298	population
22	9	9	0	4.55095	percent
23	9	6	3	2.38552	one
24	9	9	0	0.91520	for
25	8	6	2	-0.13254	that
26	8	0	8	5.95256	teen
27	8	6	2	6.36760	poor
28	8	8	0	3.68786	old
29	8	0	8	7.03503	offenders
30	8	0	8	7.95256	males
31	8	0	8	5.10012	lives
32	8	0	8	5.99321	child
33	7	6	1	0.28059	was
34	7	6	1	3.02295	many
35	7	0	7	7.22941	male
36	6	2	4	6.45952	murders
37	6	5	1	6.18389	majority
38	6	0	6	7.24802	boys
39	6	6	0	4.18389	among
40	5	0	5	6.12249	youth
41	5	0	5	2.57405	year
42	5	5	0	2.63706	two
43	5	5	0	-0.45946	s
44	5	5	0	6.44442	predominantly
45	5	0	5	-0.51703	police
46	5	5	0	5.12249	mostly
47	5	0	5	4.03503	leaders
48	5	0	5	3.71650	crime
49	5	0	5	7.44442	caucus
50	4	0	4	4.36760	woman
51	4	4	0	1.30231	when
52	4	0	4	6.31514	unemployment
53	4	4	0	-2.00518	to
54	4	4	0	3.56790	three
55	4	4	0	6.12249	thirds
56	4	2	2	-0.80899	said
57	4	2	2	2.63064	its
58	4	0	4	5.31514	homicide
59	4	0	4	3.78264	friday
60	4	4	0	2.80961	first
61	4	0	4	5.53753	families
62	4	1	3	1.76934	city
63	4	0	4	0.49496	but
64	4	4	0	3.13381	another
65	4	4	0	1.05103	about
66	3	3	0	-0.47494	with
67	3	0	3	3.19966	twitter
68	3	0	3	7.12249	superintendent
69	3	0	3	5.18389	student
70	3	3	0	1.25213	some
71	3	0	3	2.24802	president
72	3	0	3	7.70745	populations
73	3	0	3	3.75326	person
74	3	0	3	4.53753	parents
75	3	1	2	0.97274	or
76	3	0	3	1.11500	officers
77	3	3	0	1.46905	no
78	3	3	0	5.80056	legislative
79	3	3	0	4.61999	largely
80	3	1	2	-0.92917	he
81	3	1	2	6.90010	girls
82	3	3	0	-0.29817	as
83	3	3	0	2.68508	against
84	2	2	0	5.03503	younger
85	2	0	2	4.59893	women
86	2	1	1	1.70464	while
87	2	2	0	0.90332	which
88	2	0	2	6.80056	victimization
89	2	0	2	4.59893	victim
90	2	0	2	2.76494	town
91	2	2	0	2.07810	these
92	2	2	0	1.08357	than
93	2	0	2	2.93267	security
94	2	1	1	4.47863	rifles
95	2	0	2	4.31514	poverty
96	2	2	0	5.31514	per
97	2	2	0	1.07264	other
98	2	0	2	-0.54994	officer
99	2	0	2	8.12249	offending
100	2	0	2	3.21560	neighborhood
101	2	0	2	3.59893	middle
102	2	0	2	4.59893	member
103	2	0	2	4.31514	lawyers
104	2	2	0	3.69623	large
105	2	0	2	5.12249	intraracial
106	2	2	0	2.91304	interview
107	2	0	2	4.95256	homicides
108	2	0	2	-0.75095	have
109	2	0	2	3.21560	giuliani
110	2	2	0	-0.56751	from
111	2	1	1	-1.03106	ferguson
112	2	2	0	6.80056	criminalize
113	2	0	2	2.71310	criminal
114	2	2	0	7.12249	congressional
115	2	0	2	4.95256	clergy
116	2	2	0	2.00355	called
117	2	0	2	2.58333	body
118	2	2	0	1.65488	between
119	2	1	1	2.83709	america
120	2	0	2	5.66306	adults
121	2	1	1	8.12249	adulthood
